APA number,ACC number,ACC Name,Address,Suburb / Town,From,To,Latitude,Longitude
42,39,LAVERTY PATHOLOGY,PATH SE 1 BEROWRA VILL MC 1A TURNER RD,BEROWRA HEIGHTS NSW 2082,01/07/2006,30/06/2027,-33.61272,151.13869
42,42,DOREVITCH PATHOLOGY,PATHOLOGY ROOM SE 4 L 9 20 COLLINS ST,MELBOURNE VIC 3000,01/02/1992,30/06/2027,-37.81331,144.97289
42,45,DOREVITCH PATHOLOGY,53 VICTORIA ST,BALLARAT VIC 3350,01/07/2006,30/06/2027,-37.56222,143.86696
42,46,DOREVITCH PATHOLOGY,PATH RM WANGARATTA PVT HOSP 29 CLARK ST,WANGARATTA VIC 3676,01/07/2007,30/06/2027,-36.34979,146.31268
42,49,QML PATHOLOGY,NERANG MALL SHOP T41 25 GILSTON RD,NERANG QLD 4211,01/07/2008,30/06/2027,-27.99972,153.33755
42,61,DOREVITCH PATHOLOGY,PATH RM HALLAM FAM PRAC 214 PRINCES HWY,HALLAM VIC 3803,01/07/2007,30/06/2027,-38.01934,145.30316
42,62,DOREVITCH PATHOLOGY,UNIT 4 212 CLAYTON RD,CLAYTON VIC 3168,28/10/1992,30/06/2027,-37.91865,145.12163
42,67,LAVERTY PATHOLOGY,UNIT 1A 15 ARNOTT ST,EDGEWORTH NSW 2285,01/07/2006,30/06/2027,-32.92497,151.62268
42,73,DOREVITCH PATHOLOGY,PATHOLOGY SUITE 1 79-81 ROSE ST,ESSENDON VIC 3040,01/02/1994,30/06/2027,-37.75482,144.91545
42,74,QML PATHOLOGY,SHOP 2 130 MARSHALL ST,GOONDIWINDI QLD 4390,01/07/2008,30/06/2027,-28.54775,150.30954
42,77,DOREVITCH PATHOLOGY,WILLIAMSTOWN SPECIALIST CTR RM 8-13 87 FERGUSON ST,WILLIAMSTOWN VIC 3016,01/02/1994,30/06/2027,-37.85912,144.89722
42,78,DOREVITCH PATHOLOGY,PATH RM U 1 2 RAMSAY PL,ALBURY NSW 2640,19/03/1994,30/06/2027,-36.07623,146.88422
42,81,DOREVITCH PATHOLOGY,SUITE 15 214-216 BURGUNDY ST,HEIDELBERG VIC 3084,18/07/1994,30/06/2027,-37.75498,145.06093
42,82,DOREVITCH PATHOLOGY,107 JUKES RD,FAWKNER VIC 3060,01/07/2008,30/06/2027,-37.70204,144.96733
42,83,DOREVITCH PATHOLOGY,PATH RM LAKKIS OPTOMETRY 232 MILLEARA RD,KEILOR EAST VIC 3033,03/10/1994,30/06/2027,-37.74894,144.86252
42,85,LAVERTY PATHOLOGY,PATHOLOGY ROOM 1 SHOP 17 355 BARRENJOEY RD,NEWPORT NSW 2106,01/07/2007,30/06/2027,-33.65457,151.3205
42,87,DOREVITCH PATHOLOGY,PATH RM NUNAWADING CLINIC 176 SPRINGVALE RD,NUNAWADING VIC 3131,01/07/2008,30/06/2027,-37.82132,145.17501
42,89,LAVERTY PATHOLOGY,PATH RM LINDFIELD FAM MED SE 26 12-18 TRYON RD,LINDFIELD NSW 2070,01/07/2008,30/06/2027,-33.77477,151.17062
42,91,DOREVITCH PATHOLOGY,GROUND FLOOR SUITE 1 G 262 SPRINGVALE RD,GLEN WAVERLEY VIC 3150,01/07/2007,30/06/2027,-37.8803,145.16599
42,94,DOREVITCH PATHOLOGY,602 GLENHUNTLY RD,ELSTERNWICK VIC 3185,13/11/1996,30/06/2027,-37.88615,145.01454
42,99,LAVERTY PATHOLOGY,PATH RM FAIRFIELD DIST M/C L 1 147 POLDING ST,FAIRFIELD HEIGHT NSW 2165,01/07/2008,30/06/2027,-33.86245,150.939
42,102,LAVERTY PATHOLOGY,SE 3 42-46 HARRISON ST,CARDIFF NSW 2285,01/07/2007,30/06/2027,-32.9407,151.66044
42,109,QML PATHOLOGY,SPRING LAKE VILLAGE SH 7B 31 SPRINGFIELD LAKES BVD,SPRINGFIELD LAKE QLD 4300,01/07/2007,30/06/2027,-27.6698,152.91603
42,111,LAVERTY PATHOLOGY,HORNSBY HOUSE SE G4A 32-34 FLORENCE ST,HORNSBY NSW 2077,01/07/2008,30/06/2027,-33.70438,151.1015
42,112,LAVERTY PATHOLOGY,G 32 WALTER MORRIS CL,COFFS HARBOUR NSW 2450,01/07/2007,30/06/2027,-30.2848,153.12903
42,117,DOREVITCH PATHOLOGY,EVANS STREET CLINIC 79-81 EVANS ST,SUNBURY VIC 3429,30/12/1996,30/06/2027,-37.58071,144.72916
42,121,QML PATHOLOGY,TNCY 54 TAIGUM SQUARE 217 BEAMS RD,TAIGUM QLD 4018,01/07/2007,30/06/2027,-27.3501,153.048
42,123,DOREVITCH PATHOLOGY,PATH RM BRIGHT M/C 115 GAVAN ST,BRIGHT VIC 3741,10/02/1997,30/06/2027,-36.7268,146.96076
42,126,DOREVITCH PATHOLOGY,HEATHCOTE HOSPITAL MED CTR 39-55 HOSPITAL ST,HEATHCOTE VIC 3523,01/07/2008,30/06/2027,-36.92574,144.70947
42,132,DOREVITCH PATHOLOGY,PATHOLOGY ROOM U 3 22 CLARENDON ST,FRANKSTON VIC 3199,07/04/1997,30/06/2027,-38.15054,145.13139
42,142,DOREVITCH PATHOLOGY,PATH RM GLADSTONE PARK SPEC 230 MICKLEHAM RD,TULLAMARINE VIC 3043,09/02/1998,30/06/2027,-37.68547,144.88327
42,144,DOREVITCH PATHOLOGY,SE 1.6 & 2.1 THE GARDENS 470 WODONGA PL,ALBURY NSW 2640,01/07/2007,30/06/2027,-36.0818,146.91086
42,149,DOREVITCH PATHOLOGY,PATH SE MYHEALTH HAMPTON 3 SERVICE ST,HAMPTON VIC 3188,01/02/1999,30/06/2027,-37.9392,145.00329
42,151,DOREVITCH PATHOLOGY,PATH ROOM MOUNT BEAUTY M/C 2D TAWONGA CRES,MOUNT BEAUTY VIC 3699,06/04/1999,30/06/2027,-36.74423,147.17075
42,161,DOREVITCH PATHOLOGY,12A ST JOHNS AVE,SPRINGVALE VIC 3171,03/04/2000,30/06/2027,-37.94898,145.15008
42,176,DOREVITCH PATHOLOGY,ST ALBANS FAMILY DRS CLINIC 165-167 ST ALBANS RD,ST ALBANS VIC 3021,01/07/2007,30/06/2027,-37.75962,144.81174
42,178,DOREVITCH PATHOLOGY,OUR LADY OF RIVERGUM MC 3 RIVERGUM DR,MILL PARK VIC 3082,01/02/2001,30/06/2027,-37.66312,145.07305
42,180,DOREVITCH PATHOLOGY,PTH RMS 1&2 NARRE WARREN CL U 1 103 PROSPECT HILL RD,NARRE WARREN VIC 3805,26/04/2001,30/06/2027,-38.01086,145.309
42,181,DOREVITCH PATHOLOGY,73 ALBERT ST,MOE VIC 3825,01/07/2007,30/06/2027,-38.17495,146.26181
42,182,DOREVITCH PATHOLOGY,PATH RM MORNINGTON MED GRP 258 MAIN ST,MORNINGTON VIC 3931,28/05/2001,30/06/2027,-38.2233,145.04123
42,183,DOREVITCH PATHOLOGY,PATH RMS RINGWOOD PRIV HOSP 36-44 MT DANDENONG RD,RINGWOOD EAST VIC 3135,02/07/2001,30/06/2027,-37.8113,145.24386
42,188,DOREVITCH PATHOLOGY,PATH SE STH EASTN PRIV HOSP G 313-329 PRINCES HWY,NOBLE PARK VIC 3174,02/07/2001,30/06/2027,-37.96632,145.1921
42,189,DOREVITCH PATHOLOGY,BLACKBURN SOUTH RADIOLOGY 204 CANTERBURY RD,BLACKBURN SOUTH VIC 3130,30/07/2001,30/06/2027,-37.83308,145.15703
42,190,DOREVITCH PATHOLOGY,PATH SE WEST BRUNSWICK CLN 9 MELVILLE RD,BRUNSWICK WEST VIC 3055,01/12/2001,30/06/2027,-37.76671,144.94302
42,192,LAVERTY PATHOLOGY,PATH RM LINDFIELD MED SE 6 12-18 TRYON RD,LINDFIELD NSW 2070,01/07/2008,30/06/2027,-33.77477,151.17062
42,194,DOREVITCH PATHOLOGY,PATH SE WHEELERS HILL CLC 847 FERNTREE GULLY RD,WHEELERS HILL VIC 3150,01/12/2001,30/06/2027,-37.90623,145.18687
42,198,DOREVITCH PATHOLOGY,HAMPTON PARK SPEC SUITES SE 7 36-40 STUART AVE,HAMPTON PARK VIC 3976,01/12/2001,30/06/2027,-38.03468,145.26405
42,206,DOREVITCH PATHOLOGY,BALLARAT DAY PROCEDURE CTR 1119 HOWITT ST,WENDOUREE VIC 3355,04/03/2002,30/06/2027,-37.54081,143.83223
42,208,DOREVITCH PATHOLOGY,329 JASPER RD,ORMOND VIC 3204,25/02/2002,30/06/2027,-37.90507,145.0438
42,209,DOREVITCH PATHOLOGY,PATH RM BEECHWORTH SURGERY 39 CAMP ST,BEECHWORTH VIC 3747,08/04/2002,30/06/2027,-36.35893,146.68603
42,210,QML PATHOLOGY,U 2 633 LOGAN RD,GREENSLOPES QLD 4120,01/07/2008,30/06/2027,-27.50895,153.05168
42,211,LAVERTY PATHOLOGY,PATH RM 3 SPECIALIST M/C 11 KEMPSEY ST,BLACKTOWN NSW 2148,01/07/2008,30/06/2027,-33.77432,150.91322
42,213,DOREVITCH PATHOLOGY,WESTERN DISTRICT HEALTH 20 FOSTER ST,HAMILTON VIC 3300,22/05/2002,30/06/2027,-37.737,142.03101
42,214,DOREVITCH PATHOLOGY,PATH SE EASTERN GASTRO SPEC 205 UNION RD,SURREY HILLS VIC 3127,03/06/2002,30/06/2027,-37.81997,145.09877
42,231,QML PATHOLOGY,CHERMSIDE SPECIALIST CTR 688 GYMPIE ST,CHERMSIDE QLD 4032,01/10/2002,30/06/2027,-27.38955,153.03089
42,234,QML PATHOLOGY,PATH RM SHAILER PARK MC SE 3/3A 70 BRYANTS RD,LOGANHOLME QLD 4129,01/10/2002,30/06/2027,-27.66283,153.1792
42,238,QML PATHOLOGY,TRINITY HOUSE SE 3 39-41 MINCHINTON ST,CALOUNDRA QLD 4551,01/10/2002,30/06/2027,-26.79596,153.10977
42,239,QML PATHOLOGY,NOOSA DISTRICT HOSPITAL 50 MAPLE ST,COOROY QLD 4563,01/10/2002,30/06/2027,-26.41993,152.90872
42,244,QML PATHOLOGY,SHOP 1 591 WYNNUM RD,MORNINGSIDE QLD 4170,01/10/2002,30/06/2027,-27.46918,153.07105
42,247,QML PATHOLOGY,PENINSULA SPECIALIST CENTRE 93 GEORGE ST,KIPPA-RING QLD 4021,01/10/2002,30/06/2027,-27.22996,153.09303
42,248,QML PATHOLOGY,SMARTCLINICS THE GAP SE 5 23 GLEN AFFRIC ST,THE GAP QLD 4061,01/07/2008,30/06/2027,-27.44606,152.95353
42,253,QML PATHOLOGY,STRATHPINE SPEC CTR U 13 32 DIXON ST,STRATHPINE QLD 4500,01/10/2002,30/06/2027,-27.30781,152.9945
42,256,QML PATHOLOGY,THE TERRACE 14-16 LIMESTONE ST,IPSWICH QLD 4305,01/10/2002,30/06/2027,-27.61644,152.76393
42,259,QML PATHOLOGY,PATH ROOM CAIRNS M/C 120 MULGRAVE RD,CAIRNS QLD 4870,01/10/2002,30/06/2027,-16.92545,145.76312
42,260,QML PATHOLOGY,175 BYRNES ST,MAREEBA QLD 4880,01/10/2002,30/06/2027,-16.99467,145.42308
42,262,QML PATHOLOGY,PATH ROOM SE 1 15-17 RODERICK ST,IPSWICH QLD 4305,01/10/2002,30/06/2027,-27.6178,152.76241
42,264,QML PATHOLOGY,PM RUNAWAY BAY DR SURG SHOP F5B 151 MORALA AVE,RUNAWAY BAY QLD 4216,01/10/2002,30/06/2027,-27.91393,153.40057
42,265,QML PATHOLOGY,SUITES 8 & 9 120 BLOOMFIELD ST,CLEVELAND QLD 4163,01/10/2002,30/06/2027,-27.52854,153.26751
42,268,DOREVITCH PATHOLOGY,PATH RM MT EVELYN MED SRGY 29 HEREFORD RD,MOUNT EVELYN VIC 3796,01/07/2008,30/06/2027,-37.78217,145.38185
42,270,QML PATHOLOGY,SHOP 10 109 OLD CLEVELAND RD,CAPALABA QLD 4157,01/10/2002,30/06/2027,-27.521,153.19282
42,273,QML PATHOLOGY,QML PATHOLOGY SHOP 2 876 OLD CLEVELAND RD,CARINA QLD 4152,01/10/2002,30/06/2027,-27.49502,153.09081
42,275,QML PATHOLOGY,SHOP 1 3 ANNIE ST,CABOOLTURE QLD 4510,01/10/2002,30/06/2027,-27.08274,152.9502
42,281,QML PATHOLOGY,PATH RM ASHGROVE SPEC M/C SE 4/4A 21-23 HARRY ST,ASHGROVE QLD 4060,01/10/2002,30/06/2027,-27.44419,152.99257
42,282,QML PATHOLOGY,SE 4 DAY & NIGHT MED CTR 66 STATION RD,INDOOROOPILLY QLD 4068,01/10/2002,30/06/2027,-27.50189,152.97263
42,283,QML PATHOLOGY,PATH RM SE 2 92 GRANGE RD,EASTERN HEIGHTS QLD 4305,01/10/2002,30/06/2027,-27.6281,152.77843
42,291,DOREVITCH PATHOLOGY,KOOWEERUP REGIONAL HLTH SVC 215 ROSSITER RD,KOOWEERUP VIC 3981,01/07/2008,30/06/2027,-38.20201,145.48391
42,292,QML PATHOLOGY,U 3 CAIRNS DAY SURGERY 156-160 GRAFTON ST,CAIRNS QLD 4870,01/10/2002,30/06/2027,-16.91898,145.77196
42,293,QML PATHOLOGY,MEADOWBROOK SHOPPING VLG SHOP 5 261 LOGANLEA RD,MEADOWBROOK QLD 4131,01/10/2002,30/06/2027,-27.66717,153.14023
42,305,QML PATHOLOGY,OXENFORD MED & PROF CTR SE 3 5 MICHIGAN DR,OXENFORD QLD 4210,01/10/2002,30/06/2027,-27.90075,153.31262
42,308,QML PATHOLOGY,11 WATKINS ST,TULLY QLD 4854,01/10/2002,30/06/2027,-17.93402,145.92258
42,311,LAVERTY PATHOLOGY,SE 3 G 20-24 GIBBS ST,MIRANDA NSW 2228,01/07/2008,30/06/2027,-34.03696,151.10294
42,312,QML PATHOLOGY,JINDALEE ALLSPORTS S/C SHOP 13 19 KOORINGAL DR,JINDALEE QLD 4074,01/10/2002,30/06/2027,-27.53115,152.9441
42,313,QML PATHOLOGY,BRACKEN RIDGE PLAZA SHOP T5 250 TELEGRAPH RD,BRACKEN RIDGE QLD 4017,01/10/2002,30/06/2027,-27.33017,153.02648
42,316,LAVERTY PATHOLOGY,PATH RMS 2&6 MERRYLANDS MC SE 2 181 MERRYLANDS RD,MERRYLANDS NSW 2160,01/07/2008,30/06/2027,-33.83625,150.99007
42,317,QML PATHOLOGY,NORTH WEST SPECIALIST CNTR SE 8 137A FLOCKTON ST,EVERTON PARK QLD 4053,01/10/2002,30/06/2027,-27.39355,152.99256
42,318,QML PATHOLOGY,CORINDA PROFESSIONAL CNTR SE 2 667 OXLEY RD,CORINDA QLD 4075,01/10/2002,30/06/2027,-27.54012,152.98113
42,320,QML PATHOLOGY,LEASE 48 KENMORE VILLAGE 9 BROOKFIELD RD,KENMORE QLD 4069,01/10/2002,30/06/2027,-27.50596,152.93908
42,325,QML PATHOLOGY,ALEXANDRA HOUSE SE 14 G 201 WICKHAM TCE,SPRING HILL QLD 4000,01/10/2002,30/06/2027,-27.46577,153.02367
42,326,QML PATHOLOGY,COOLOOLA SPEC & DIAG CTR 74 CHANNON ST,GYMPIE QLD 4570,01/10/2002,30/06/2027,-26.18448,152.66422
42,328,QML PATHOLOGY,ROSEWOOD PLAZA SHOP 1 18-20 JOHN ST,ROSEWOOD QLD 4340,01/07/2008,30/06/2027,-27.64141,152.59294
42,330,QML PATHOLOGY,THE MED DIAG CTR LOTS 8 & 9 7 NICKLIN WAY,MINYAMA QLD 4575,01/10/2002,30/06/2027,-26.70032,153.12442
42,332,QML PATHOLOGY,SHOPS 1 2A & 2B 121 EGERTON ST,EMERALD QLD 4720,01/10/2002,30/06/2027,-23.52636,148.16354
42,334,QML PATHOLOGY,MAROOCHYDORE DIAG CNTR 148 HORTON PDE,MAROOCHYDORE QLD 4558,01/10/2002,30/06/2027,-26.65551,153.09104
42,337,QML PATHOLOGY,PORT VILLAGE MED CTR SH 17 11-17 MACROSSAN ST,PORT DOUGLAS QLD 4877,01/10/2002,30/06/2027,-16.48212,145.46289
42,338,QML PATHOLOGY,LAIDLEY SHOPPING CENTRE SHOP 4 132 PATRICK ST,LAIDLEY QLD 4341,01/10/2002,30/06/2027,-27.63058,152.3948
42,340,LAVERTY PATHOLOGY,PATH SE 1 EASTGARDENS MC SHOP 131 152 BUNNERONG RD,EASTGARDENS NSW 2036,01/07/2008,30/06/2027,-33.94481,151.22426
42,341,QML PATHOLOGY,NOOSA PRIVATE HOSPITAL 111 GOODCHAP ST,NOOSAVILLE QLD 4566,01/10/2002,30/06/2027,-26.40355,153.04606
42,342,QML PATHOLOGY,TENANCY LG3 PACIFIC PVT CLC 119-123 NERANG ST,SOUTHPORT QLD 4215,01/10/2002,30/06/2027,-27.97041,153.40783
42,351,QML PATHOLOGY,SHOP 1 107-111 MURWILLUMBAH ST,MURWILLUMBAH NSW 2484,01/10/2002,30/06/2027,-28.32624,153.39629
42,352,QML PATHOLOGY,SHOP 4 46 LANDSBOROUGH PDE,GOLDEN BEACH QLD 4551,01/10/2002,30/06/2027,-26.82154,153.11977
42,353,QML PATHOLOGY,SHOP E21 VICTORIA POINT SC 505 CLEVELAND-REDLAND BAY R,VICTORIA POINT QLD 4165,01/10/2002,30/06/2027,-27.58962,153.28214
42,354,QML PATHOLOGY,ST ANDREWS PLACE SE 279 G 33 NORTH ST,SPRING HILL QLD 4000,01/10/2002,30/06/2027,-27.46108,153.02177
42,355,QML PATHOLOGY,SHOP 9 280 NEWNHAM RD,WISHART QLD 4122,01/10/2002,30/06/2027,-27.5464,153.09239
42,356,QML PATHOLOGY,TENANCY B TOWER M/C 241 FOREST LAKE BVD,FOREST LAKE QLD 4078,01/10/2002,30/06/2027,-27.62381,152.96963
42,361,QML PATHOLOGY,PATH RM CALAMVALE MED CNTR SHOP 7/7A G 51 KAMERUKA ST,CALAMVALE QLD 4116,01/10/2002,30/06/2027,-27.62429,153.04877
42,366,QML PATHOLOGY,U 2 28 BOLSOVER ST,ROCKHAMPTON QLD 4700,01/10/2002,30/06/2027,-23.37175,150.50641
42,373,QML PATHOLOGY,HOLY SPIRIT NORTHSIDE PH SE 4 627 RODE RD,CHERMSIDE QLD 4032,01/10/2002,30/06/2027,-27.39107,153.02388
42,374,QML PATHOLOGY,QML PATHOLOGY CLINIC SHOP 2A 11 DOLPHIN AVE,TIN CAN BAY QLD 4580,01/10/2002,30/06/2027,-25.91626,153.00221
42,379,QML PATHOLOGY,PATH RM GOULDING CENTRE SHOP 3 95 GRAFTON ST,WARWICK QLD 4370,01/10/2002,30/06/2027,-28.21586,152.03212
42,382,LAVERTY PATHOLOGY,SE 3 130 PRINCES HWY,SYLVANIA NSW 2224,01/07/2008,30/06/2027,-34.00912,151.103
42,393,DOREVITCH PATHOLOGY,PATH RM PARK AVE MED CNTR 3-7 KINGDOM DR,CRANBOURNE VIC 3977,01/07/2008,30/06/2027,-38.09309,145.29299
42,397,QML PATHOLOGY,30 OWEN ST,INNISFAIL QLD 4860,21/10/2002,30/06/2027,-17.52403,146.02913
42,398,QML PATHOLOGY,PLAINS JUNCTION SHOP CTR U 2 24-48 BROWNS PLAINS RD,BROWNS PLAINS QLD 4118,04/11/2002,30/06/2027,-27.6596,153.04148
42,400,QML PATHOLOGY,PATH RM AYR MEDICAL CENTRE 2A-10A CHIPPENDALE ST,AYR QLD 4807,09/12/2002,30/06/2027,,
42,401,DOREVITCH PATHOLOGY,PATH SE DIGESTIVE HLTH CTR 90 DAVID ST,DANDENONG VIC 3175,16/12/2002,30/06/2027,-37.97779,145.22426
42,406,QML PATHOLOGY,QML TENANCY SE 2 99 TAMAR ST,BALLINA NSW 2478,14/02/2003,30/06/2027,-28.86786,153.55844
42,408,LAVERTY PATHOLOGY,PATH SE 2 COOTAMUNDRA PHC 118-132 MACKAY ST,COOTAMUNDRA NSW 2590,01/07/2008,30/06/2027,-34.63535,148.01397
42,410,QML PATHOLOGY,PATH RM MIAMI FAMILY M/C 1922 GOLD COAST HWY,MIAMI QLD 4220,31/03/2003,30/06/2027,-28.07523,153.44445
42,416,QML PATHOLOGY,SHOP 4 1300 SAMFORD RD,FERNY GROVE QLD 4055,04/08/2003,30/06/2027,-27.40313,152.93799
42,418,DOREVITCH PATHOLOGY,BELEURA PRIV HOSPITAL SE 9 G 925 NEPEAN HWY,MORNINGTON VIC 3931,04/08/2003,30/06/2027,-38.22543,145.04962
42,420,LAVERTY PATHOLOGY,PATH SE SURRY HILLS MED CTR 569-573 CROWN ST,SURRY HILLS NSW 2010,01/07/2008,30/06/2027,-33.891,151.2127
42,422,LAVERTY PATHOLOGY,216 RUSDEN ST,ARMIDALE NSW 2350,18/08/2003,30/06/2027,-30.51276,151.65759
42,424,LAVERTY PATHOLOGY,SE 3 52 KITCHENER PDE,BANKSTOWN NSW 2200,18/08/2003,30/06/2027,-33.9149,151.03272
42,425,LAVERTY PATHOLOGY,ULLADULLA PLAZA SE B 22-24 PACIFIC ST,BATEMANS BAY NSW 2536,18/08/2003,30/06/2027,-35.71391,150.1812
42,428,LAVERTY PATHOLOGY,500 PACIFIC HWY,BELMONT NSW 2280,18/08/2003,30/06/2027,-33.03286,151.6605
42,434,QML PATHOLOGY,MCCULLOUGH CENTRE SE 21 245 MCCULLOUGH ST,SUNNYBANK QLD 4109,01/07/2008,30/06/2027,-27.57247,153.06189
42,441,QML PATHOLOGY,PATH RM CHILDERS DRS SURG 3 ASHBY LANE,CHILDERS QLD 4660,01/07/2008,30/06/2027,-25.23704,152.2798
42,442,LAVERTY PATHOLOGY,PATH LAB KAREENA PRIV HOSP L 3 & G 86 KAREENA RD,CARINGBAH NSW 2229,18/08/2003,30/06/2027,-34.03506,151.11422
42,443,WESTERN DIAGNOSTIC PATH,PATH RM CURRAMBINE F/P U 2 4 HOBSONS GTE,CURRAMBINE WA 6028,01/07/2008,30/06/2027,-31.73896,115.73806
42,445,LAVERTY PATHOLOGY,PATHOLOGY RM GROUND FLOOR U 2 28 SMITH ST,CHARLESTOWN NSW 2290,18/08/2003,30/06/2027,-32.96393,151.69751
42,447,LAVERTY PATHOLOGY,PTH SE 1&2 ASTLEY MC SH 5-8 358-370 GREAT WESTERN HWY,ST MARYS NSW 2760,01/07/2008,30/06/2027,-33.76296,150.77496
42,450,LAVERTY PATHOLOGY,PATHOLOGY ROOM SHOP 3 92 MAJORS BAY RD,CONCORD NSW 2137,18/08/2003,30/06/2027,-33.8562,151.10286
42,456,LAVERTY PATHOLOGY,PATH RM DAPTO MED/FAM PRAC G 21 BONG BONG RD,DAPTO NSW 2530,18/08/2003,30/06/2027,-34.49425,150.79284
42,457,LAVERTY PATHOLOGY,SE 1 29 WALLACE ST,MACKSVILLE NSW 2447,18/08/2003,30/06/2027,-30.70747,152.91849
42,459,LAVERTY PATHOLOGY,SHOP 2 805-813 ANZAC PDE,MAROUBRA NSW 2035,18/08/2003,30/06/2027,-33.94318,151.23903
42,460,LAVERTY PATHOLOGY,PATH ROOM 1 & 2 SHOP 1 332-334 MARICKVILLE RD,MARRICKVILLE NSW 2204,18/08/2003,30/06/2027,-33.91021,151.15471
42,461,LAVERTY PATHOLOGY,SE B 280 MAITLAND RD,MAYFIELD NSW 2304,18/08/2003,30/06/2027,-32.89763,151.73643
42,462,LAVERTY PATHOLOGY,PATH ROOM SE 3A 62-70 ALLISON CRES,MENAI NSW 2234,18/08/2003,30/06/2027,-34.01281,151.01739
42,466,LAVERTY PATHOLOGY,PATHOLOGY SUITE 1 64 BROOK ST,MUSWELLBROOK NSW 2333,18/08/2003,30/06/2027,-32.26312,150.89009
42,468,LAVERTY PATHOLOGY,PEACHTREE CENTRE U 6 & 7 1 KENT ST,NAMBUCCA HEADS NSW 2448,18/08/2003,30/06/2027,-30.64197,153.00327
42,472,LAVERTY PATHOLOGY,STANDISH MEDICAL CENTRE SE 4 33 BERRY ST,NOWRA NSW 2541,18/08/2003,30/06/2027,-34.87517,150.60004
42,479,LAVERTY PATHOLOGY,THE HERMITAGE MED CTR SE 9 72-80 LAKE RD,PORT MACQUARIE NSW 2444,18/08/2003,30/06/2027,-31.4413,152.9092
42,481,LAVERTY PATHOLOGY,177 GEORGE ST,QUIRINDI NSW 2343,18/08/2003,30/06/2027,-31.50792,150.68035
42,482,LAVERTY PATHOLOGY,RAMSGATE PLAZE SUITE 5 191-203 RAMSGATE RD,RAMSGATE BEACH NSW 2217,18/08/2003,30/06/2027,-33.985,151.13997
42,485,LAVERTY PATHOLOGY,ROOTY HILL MED&DEN CTR U 1 G 31 ROOTY HILL RD N,ROOTY HILL NSW 2766,01/07/2008,30/06/2027,-33.77036,150.84363
42,487,LAVERTY PATHOLOGY,289 BELMORE RD,RIVERWOOD NSW 2210,01/07/2008,30/06/2027,-33.95068,151.05188
42,490,LAVERTY PATHOLOGY,PROVINCIAL MC ST CLAIR SC SHOP 21 155 BENNETT RD,ST CLAIR NSW 2759,18/08/2003,30/06/2027,-33.79689,150.79129
42,497,LAVERTY PATHOLOGY,PATH RM 1 SCHWARZ F/P 37 HILDER ST,ELDERSLIE NSW 2570,18/08/2003,30/06/2027,-34.05241,150.7168
42,500,LAVERTY PATHOLOGY,CAPE HAWK COMM HOSP SE 1 5A SOUTH ST,FORSTER NSW 2428,18/08/2003,30/06/2027,-32.18839,152.51352
42,502,QML PATHOLOGY,AION HLTH CONS RMS 3&4&5 L5 SE 90 30 CHASELY ST,AUCHENFLOWER QLD 4066,01/07/2008,30/06/2027,-27.47698,152.99775
42,510,LAVERTY PATHOLOGY,3 WHITE ST,JANNALI NSW 2226,18/08/2003,30/06/2027,-34.01696,151.06614
42,512,LAVERTY PATHOLOGY,SHOP 1 60 PENSHURST ST,PENSHURST NSW 2222,01/07/2008,30/06/2027,-33.96411,151.0879
