APA number,ACC number,ACC Name,Address,Suburb / Town,From,To
42,99,LAVERTY PATHOLOGY,PATH RM FAIRFIELD DIST M/C L 1 147 POLDING ST,FAIRFIELD HEIGHT NSW 2165,01/07/2008,30/06/2027
42,102,LAVERTY PATHOLOGY,SE 3 42-46 HARRISON ST,CARDIFF NSW 2285,01/07/2007,30/06/2027
42,109,QML PATHOLOGY,SPRING LAKE VILLAGE SH 7B 31 SPRINGFIELD LAKES BVD,SPRINGFIELD LAKE QLD 4300,01/07/2007,30/06/2027
42,111,LAVERTY PATHOLOGY,HORNSBY HOUSE SE G4A 32-34 FLORENCE ST,HORNSBY NSW 2077,01/07/2008,30/06/2027
42,112,LAVERTY PATHOLOGY,G 32 WALTER MORRIS CL,COFFS HARBOUR NSW 2450,01/07/2007,30/06/2027
42,117,DOREVITCH PATHOLOGY,EVANS STREET CLINIC 79-81 EVANS ST,SUNBURY VIC 3429,30/12/1996,30/06/2027
42,121,QML PATHOLOGY,TNCY 54 TAIGUM SQUARE 217 BEAMS RD,TAIGUM QLD 4018,01/07/2007,30/06/2027
42,123,DOREVITCH PATHOLOGY,PATH RM BRIGHT M/C 115 GAVAN ST,BRIGHT VIC 3741,10/02/1997,30/06/2027
42,126,DOREVITCH PATHOLOGY,HEATHCOTE HOSPITAL MED CTR 39-55 HOSPITAL ST,HEATHCOTE VIC 3523,01/07/2008,30/06/2027
42,132,DOREVITCH PATHOLOGY,PATHOLOGY ROOM U 3 22 CLARENDON ST,FRANKSTON VIC 3199,07/04/1997,30/06/2027
42,142,DOREVITCH PATHOLOGY,PATH RM GLADSTONE PARK SPEC 230 MICKLEHAM RD,TULLAMARINE VIC 3043,09/02/1998,30/06/2027
42,144,DOREVITCH PATHOLOGY,SE 1.6 & 2.1 THE GARDENS 470 WODONGA PL,ALBURY NSW 2640,01/07/2007,30/06/2027
42,149,DOREVITCH PATHOLOGY,PATH SE MYHEALTH HAMPTON 3 SERVICE ST,HAMPTON VIC 3188,01/02/1999,30/06/2027
42,151,DOREVITCH PATHOLOGY,PATH ROOM MOUNT BEAUTY M/C 2D TAWONGA CRES,MOUNT BEAUTY VIC 3699,06/04/1999,30/06/2027
42,161,DOREVITCH PATHOLOGY,12A ST JOHNS AVE,SPRINGVALE VIC 3171,03/04/2000,30/06/2027
42,176,DOREVITCH PATHOLOGY,ST ALBANS FAMILY DRS CLINIC 165-167 ST ALBANS RD,ST ALBANS VIC 3021,01/07/2007,30/06/2027
42,178,DOREVITCH PATHOLOGY,OUR LADY OF RIVERGUM MC 3 RIVERGUM DR,MILL PARK VIC 3082,01/02/2001,30/06/2027
42,180,DOREVITCH PATHOLOGY,PTH RMS 1&2 NARRE WARREN CL U 1 103 PROSPECT HILL RD,NARRE WARREN VIC 3805,26/04/2001,30/06/2027
42,181,DOREVITCH PATHOLOGY,73 ALBERT ST,MOE VIC 3825,01/07/2007,30/06/2027
42,182,DOREVITCH PATHOLOGY,PATH RM MORNINGTON MED GRP 258 MAIN ST,MORNINGTON VIC 3931,28/05/2001,30/06/2027
42,183,DOREVITCH PATHOLOGY,PATH RMS RINGWOOD PRIV HOSP 36-44 MT DANDENONG RD,RINGWOOD EAST VIC 3135,02/07/2001,30/06/2027
42,188,DOREVITCH PATHOLOGY,PATH SE STH EASTN PRIV HOSP G 313-329 PRINCES HWY,NOBLE PARK VIC 3174,02/07/2001,30/06/2027
42,189,DOREVITCH PATHOLOGY,BLACKBURN SOUTH RADIOLOGY 204 CANTERBURY RD,BLACKBURN SOUTH VIC 3130,30/07/2001,30/06/2027
42,190,DOREVITCH PATHOLOGY,PATH SE WEST BRUNSWICK CLN 9 MELVILLE RD,BRUNSWICK WEST VIC 3055,01/12/2001,30/06/2027
42,192,LAVERTY PATHOLOGY,PATH RM LINDFIELD MED SE 6 12-18 TRYON RD,LINDFIELD NSW 2070,01/07/2008,30/06/2027
42,194,DOREVITCH PATHOLOGY,PATH SE WHEELERS HILL CLC 847 FERNTREE GULLY RD,WHEELERS HILL VIC 3150,01/12/2001,30/06/2027
42,198,DOREVITCH PATHOLOGY,HAMPTON PARK SPEC SUITES SE 7 36-40 STUART AVE,HAMPTON PARK VIC 3976,01/12/2001,30/06/2027
42,206,DOREVITCH PATHOLOGY,BALLARAT DAY PROCEDURE CTR 1119 HOWITT ST,WENDOUREE VIC 3355,04/03/2002,30/06/2027
42,208,DOREVITCH PATHOLOGY,329 JASPER RD,ORMOND VIC 3204,25/02/2002,30/06/2027
42,209,DOREVITCH PATHOLOGY,PATH RM BEECHWORTH SURGERY 39 CAMP ST,BEECHWORTH VIC 3747,08/04/2002,30/06/2027
42,210,QML PATHOLOGY,U 2 633 LOGAN RD,GREENSLOPES QLD 4120,01/07/2008,30/06/2027
42,211,LAVERTY PATHOLOGY,PATH RM 3 SPECIALIST M/C 11 KEMPSEY ST,BLACKTOWN NSW 2148,01/07/2008,30/06/2027
42,213,DOREVITCH PATHOLOGY,WESTERN DISTRICT HEALTH 20 FOSTER ST,HAMILTON VIC 3300,22/05/2002,30/06/2027
42,214,DOREVITCH PATHOLOGY,PATH SE EASTERN GASTRO SPEC 205 UNION RD,SURREY HILLS VIC 3127,03/06/2002,30/06/2027
42,231,QML PATHOLOGY,CHERMSIDE SPECIALIST CTR 688 GYMPIE ST,CHERMSIDE QLD 4032,01/10/2002,30/06/2027
42,234,QML PATHOLOGY,PATH RM SHAILER PARK MC SE 3/3A 70 BRYANTS RD,LOGANHOLME QLD 4129,01/10/2002,30/06/2027
42,238,QML PATHOLOGY,TRINITY HOUSE SE 3 39-41 MINCHINTON ST,CALOUNDRA QLD 4551,01/10/2002,30/06/2027
42,239,QML PATHOLOGY,NOOSA DISTRICT HOSPITAL 50 MAPLE ST,COOROY QLD 4563,01/10/2002,30/06/2027
42,244,QML PATHOLOGY,SHOP 1 591 WYNNUM RD,MORNINGSIDE QLD 4170,01/10/2002,30/06/2027
42,247,QML PATHOLOGY,PENINSULA SPECIALIST CENTRE 93 GEORGE ST,KIPPA-RING QLD 4021,01/10/2002,30/06/2027
42,248,QML PATHOLOGY,SMARTCLINICS THE GAP SE 5 23 GLEN AFFRIC ST,THE GAP QLD 4061,01/07/2008,30/06/2027
42,253,QML PATHOLOGY,STRATHPINE SPEC CTR U 13 32 DIXON ST,STRATHPINE QLD 4500,01/10/2002,30/06/2027
42,256,QML PATHOLOGY,THE TERRACE 14-16 LIMESTONE ST,IPSWICH QLD 4305,01/10/2002,30/06/2027
42,259,QML PATHOLOGY,PATH ROOM CAIRNS M/C 120 MULGRAVE RD,CAIRNS QLD 4870,01/10/2002,30/06/2027
42,260,QML PATHOLOGY,175 BYRNES ST,MAREEBA QLD 4880,01/10/2002,30/06/2027
42,262,QML PATHOLOGY,PATH ROOM SE 1 15-17 RODERICK ST,IPSWICH QLD 4305,01/10/2002,30/06/2027
42,264,QML PATHOLOGY,PM RUNAWAY BAY DR SURG SHOP F5B 151 MORALA AVE,RUNAWAY BAY QLD 4216,01/10/2002,30/06/2027
42,265,QML PATHOLOGY,SUITES 8 & 9 120 BLOOMFIELD ST,CLEVELAND QLD 4163,01/10/2002,30/06/2027
42,268,DOREVITCH PATHOLOGY,PATH RM MT EVELYN MED SRGY 29 HEREFORD RD,MOUNT EVELYN VIC 3796,01/07/2008,30/06/2027
42,270,QML PATHOLOGY,SHOP 10 109 OLD CLEVELAND RD,CAPALABA QLD 4157,01/10/2002,30/06/2027
42,273,QML PATHOLOGY,QML PATHOLOGY SHOP 2 876 OLD CLEVELAND RD,CARINA QLD 4152,01/10/2002,30/06/2027
42,275,QML PATHOLOGY,SHOP 1 3 ANNIE ST,CABOOLTURE QLD 4510,01/10/2002,30/06/2027
42,281,QML PATHOLOGY,PATH RM ASHGROVE SPEC M/C SE 4/4A 21-23 HARRY ST,ASHGROVE QLD 4060,01/10/2002,30/06/2027
42,282,QML PATHOLOGY,SE 4 DAY & NIGHT MED CTR 66 STATION RD,INDOOROOPILLY QLD 4068,01/10/2002,30/06/2027
42,283,QML PATHOLOGY,PATH RM SE 2 92 GRANGE RD,EASTERN HEIGHTS QLD 4305,01/10/2002,30/06/2027
42,291,DOREVITCH PATHOLOGY,KOOWEERUP REGIONAL HLTH SVC 215 ROSSITER RD,KOOWEERUP VIC 3981,01/07/2008,30/06/2027
42,292,QML PATHOLOGY,U 3 CAIRNS DAY SURGERY 156-160 GRAFTON ST,CAIRNS QLD 4870,01/10/2002,30/06/2027
42,293,QML PATHOLOGY,MEADOWBROOK SHOPPING VLG SHOP 5 261 LOGANLEA RD,MEADOWBROOK QLD 4131,01/10/2002,30/06/2027
42,305,QML PATHOLOGY,OXENFORD MED & PROF CTR SE 3 5 MICHIGAN DR,OXENFORD QLD 4210,01/10/2002,30/06/2027
42,308,QML PATHOLOGY,11 WATKINS ST,TULLY QLD 4854,01/10/2002,30/06/2027
42,311,LAVERTY PATHOLOGY,SE 3 G 20-24 GIBBS ST,MIRANDA NSW 2228,01/07/2008,30/06/2027
42,312,QML PATHOLOGY,JINDALEE ALLSPORTS S/C SHOP 13 19 KOORINGAL DR,JINDALEE QLD 4074,01/10/2002,30/06/2027
42,313,QML PATHOLOGY,BRACKEN RIDGE PLAZA SHOP T5 250 TELEGRAPH RD,BRACKEN RIDGE QLD 4017,01/10/2002,30/06/2027
42,316,LAVERTY PATHOLOGY,PATH RMS 2&6 MERRYLANDS MC SE 2 181 MERRYLANDS RD,MERRYLANDS NSW 2160,01/07/2008,30/06/2027
42,317,QML PATHOLOGY,NORTH WEST SPECIALIST CNTR SE 8 137A FLOCKTON ST,EVERTON PARK QLD 4053,01/10/2002,30/06/2027
42,318,QML PATHOLOGY,CORINDA PROFESSIONAL CNTR SE 2 667 OXLEY RD,CORINDA QLD 4075,01/10/2002,30/06/2027
42,320,QML PATHOLOGY,LEASE 48 KENMORE VILLAGE 9 BROOKFIELD RD,KENMORE QLD 4069,01/10/2002,30/06/2027
42,325,QML PATHOLOGY,ALEXANDRA HOUSE SE 14 G 201 WICKHAM TCE,SPRING HILL QLD 4000,01/10/2002,30/06/2027
42,326,QML PATHOLOGY,COOLOOLA SPEC & DIAG CTR 74 CHANNON ST,GYMPIE QLD 4570,01/10/2002,30/06/2027
42,328,QML PATHOLOGY,ROSEWOOD PLAZA SHOP 1 18-20 JOHN ST,ROSEWOOD QLD 4340,01/07/2008,30/06/2027
42,330,QML PATHOLOGY,THE MED DIAG CTR LOTS 8 & 9 7 NICKLIN WAY,MINYAMA QLD 4575,01/10/2002,30/06/2027
42,332,QML PATHOLOGY,SHOPS 1 2A & 2B 121 EGERTON ST,EMERALD QLD 4720,01/10/2002,30/06/2027
42,334,QML PATHOLOGY,MAROOCHYDORE DIAG CNTR 148 HORTON PDE,MAROOCHYDORE QLD 4558,01/10/2002,30/06/2027
42,337,QML PATHOLOGY,PORT VILLAGE MED CTR SH 17 11-17 MACROSSAN ST,PORT DOUGLAS QLD 4877,01/10/2002,30/06/2027
42,338,QML PATHOLOGY,LAIDLEY SHOPPING CENTRE SHOP 4 132 PATRICK ST,LAIDLEY QLD 4341,01/10/2002,30/06/2027
42,340,LAVERTY PATHOLOGY,PATH SE 1 EASTGARDENS MC SHOP 131 152 BUNNERONG RD,EASTGARDENS NSW 2036,01/07/2008,30/06/2027
42,341,QML PATHOLOGY,NOOSA PRIVATE HOSPITAL 111 GOODCHAP ST,NOOSAVILLE QLD 4566,01/10/2002,30/06/2027
42,342,QML PATHOLOGY,TENANCY LG3 PACIFIC PVT CLC 119-123 NERANG ST,SOUTHPORT QLD 4215,01/10/2002,30/06/2027
42,351,QML PATHOLOGY,SHOP 1 107-111 MURWILLUMBAH ST,MURWILLUMBAH NSW 2484,01/10/2002,30/06/2027
42,352,QML PATHOLOGY,SHOP 4 46 LANDSBOROUGH PDE,GOLDEN BEACH QLD 4551,01/10/2002,30/06/2027
42,353,QML PATHOLOGY,SHOP E21 VICTORIA POINT SC 505 CLEVELAND-REDLAND BAY R,VICTORIA POINT QLD 4165,01/10/2002,30/06/2027
42,354,QML PATHOLOGY,ST ANDREWS PLACE SE 279 G 33 NORTH ST,SPRING HILL QLD 4000,01/10/2002,30/06/2027
42,355,QML PATHOLOGY,SHOP 9 280 NEWNHAM RD,WISHART QLD 4122,01/10/2002,30/06/2027
42,356,QML PATHOLOGY,TENANCY B TOWER M/C 241 FOREST LAKE BVD,FOREST LAKE QLD 4078,01/10/2002,30/06/2027
42,361,QML PATHOLOGY,PATH RM CALAMVALE MED CNTR SHOP 7/7A G 51 KAMERUKA ST,CALAMVALE QLD 4116,01/10/2002,30/06/2027
42,366,QML PATHOLOGY,U 2 28 BOLSOVER ST,ROCKHAMPTON QLD 4700,01/10/2002,30/06/2027
42,373,QML PATHOLOGY,HOLY SPIRIT NORTHSIDE PH SE 4 627 RODE RD,CHERMSIDE QLD 4032,01/10/2002,30/06/2027
42,374,QML PATHOLOGY,QML PATHOLOGY CLINIC SHOP 2A 11 DOLPHIN AVE,TIN CAN BAY QLD 4580,01/10/2002,30/06/2027
42,379,QML PATHOLOGY,PATH RM GOULDING CENTRE SHOP 3 95 GRAFTON ST,WARWICK QLD 4370,01/10/2002,30/06/2027
42,382,LAVERTY PATHOLOGY,SE 3 130 PRINCES HWY,SYLVANIA NSW 2224,01/07/2008,30/06/2027
42,393,DOREVITCH PATHOLOGY,PATH RM PARK AVE MED CNTR 3-7 KINGDOM DR,CRANBOURNE VIC 3977,01/07/2008,30/06/2027
42,397,QML PATHOLOGY,30 OWEN ST,INNISFAIL QLD 4860,21/10/2002,30/06/2027
42,398,QML PATHOLOGY,PLAINS JUNCTION SHOP CTR U 2 24-48 BROWNS PLAINS RD,BROWNS PLAINS QLD 4118,04/11/2002,30/06/2027
42,400,QML PATHOLOGY,PATH RM AYR MEDICAL CENTRE 2A-10A CHIPPENDALE ST,AYR QLD 4807,09/12/2002,30/06/2027
42,401,DOREVITCH PATHOLOGY,PATH SE DIGESTIVE HLTH CTR 90 DAVID ST,DANDENONG VIC 3175,16/12/2002,30/06/2027
42,406,QML PATHOLOGY,QML TENANCY SE 2 99 TAMAR ST,BALLINA NSW 2478,14/02/2003,30/06/2027
42,408,LAVERTY PATHOLOGY,PATH SE 2 COOTAMUNDRA PHC 118-132 MACKAY ST,COOTAMUNDRA NSW 2590,01/07/2008,30/06/2027
42,410,QML PATHOLOGY,PATH RM MIAMI FAMILY M/C 1922 GOLD COAST HWY,MIAMI QLD 4220,31/03/2003,30/06/2027
42,416,QML PATHOLOGY,SHOP 4 1300 SAMFORD RD,FERNY GROVE QLD 4055,04/08/2003,30/06/2027
42,418,DOREVITCH PATHOLOGY,BELEURA PRIV HOSPITAL SE 9 G 925 NEPEAN HWY,MORNINGTON VIC 3931,04/08/2003,30/06/2027
42,420,LAVERTY PATHOLOGY,PATH SE SURRY HILLS MED CTR 569-573 CROWN ST,SURRY HILLS NSW 2010,01/07/2008,30/06/2027
42,422,LAVERTY PATHOLOGY,216 RUSDEN ST,ARMIDALE NSW 2350,18/08/2003,30/06/2027
42,424,LAVERTY PATHOLOGY,SE 3 52 KITCHENER PDE,BANKSTOWN NSW 2200,18/08/2003,30/06/2027
42,425,LAVERTY PATHOLOGY,ULLADULLA PLAZA SE B 22-24 PACIFIC ST,BATEMANS BAY NSW 2536,18/08/2003,30/06/2027
42,428,LAVERTY PATHOLOGY,500 PACIFIC HWY,BELMONT NSW 2280,18/08/2003,30/06/2027
42,434,QML PATHOLOGY,MCCULLOUGH CENTRE SE 21 245 MCCULLOUGH ST,SUNNYBANK QLD 4109,01/07/2008,30/06/2027
42,441,QML PATHOLOGY,PATH RM CHILDERS DRS SURG 3 ASHBY LANE,CHILDERS QLD 4660,01/07/2008,30/06/2027
42,442,LAVERTY PATHOLOGY,PATH LAB KAREENA PRIV HOSP L 3 & G 86 KAREENA RD,CARINGBAH NSW 2229,18/08/2003,30/06/2027
42,443,WESTERN DIAGNOSTIC PATH,PATH RM CURRAMBINE F/P U 2 4 HOBSONS GTE,CURRAMBINE WA 6028,01/07/2008,30/06/2027
42,445,LAVERTY PATHOLOGY,PATHOLOGY RM GROUND FLOOR U 2 28 SMITH ST,CHARLESTOWN NSW 2290,18/08/2003,30/06/2027
42,447,LAVERTY PATHOLOGY,PTH SE 1&2 ASTLEY MC SH 5-8 358-370 GREAT WESTERN HWY,ST MARYS NSW 2760,01/07/2008,30/06/2027
42,450,LAVERTY PATHOLOGY,PATHOLOGY ROOM SHOP 3 92 MAJORS BAY RD,CONCORD NSW 2137,18/08/2003,30/06/2027
42,456,LAVERTY PATHOLOGY,PATH RM DAPTO MED/FAM PRAC G 21 BONG BONG RD,DAPTO NSW 2530,18/08/2003,30/06/2027
42,457,LAVERTY PATHOLOGY,SE 1 29 WALLACE ST,MACKSVILLE NSW 2447,18/08/2003,30/06/2027
42,459,LAVERTY PATHOLOGY,SHOP 2 805-813 ANZAC PDE,MAROUBRA NSW 2035,18/08/2003,30/06/2027
42,460,LAVERTY PATHOLOGY,PATH ROOM 1 & 2 SHOP 1 332-334 MARICKVILLE RD,MARRICKVILLE NSW 2204,18/08/2003,30/06/2027
42,461,LAVERTY PATHOLOGY,SE B 280 MAITLAND RD,MAYFIELD NSW 2304,18/08/2003,30/06/2027
42,462,LAVERTY PATHOLOGY,PATH ROOM SE 3A 62-70 ALLISON CRES,MENAI NSW 2234,18/08/2003,30/06/2027
42,466,LAVERTY PATHOLOGY,PATHOLOGY SUITE 1 64 BROOK ST,MUSWELLBROOK NSW 2333,18/08/2003,30/06/2027
42,468,LAVERTY PATHOLOGY,PEACHTREE CENTRE U 6 & 7 1 KENT ST,NAMBUCCA HEADS NSW 2448,18/08/2003,30/06/2027
42,472,LAVERTY PATHOLOGY,STANDISH MEDICAL CENTRE SE 4 33 BERRY ST,NOWRA NSW 2541,18/08/2003,30/06/2027
42,479,LAVERTY PATHOLOGY,THE HERMITAGE MED CTR SE 9 72-80 LAKE RD,PORT MACQUARIE NSW 2444,18/08/2003,30/06/2027
42,481,LAVERTY PATHOLOGY,177 GEORGE ST,QUIRINDI NSW 2343,18/08/2003,30/06/2027
42,482,LAVERTY PATHOLOGY,RAMSGATE PLAZE SUITE 5 191-203 RAMSGATE RD,RAMSGATE BEACH NSW 2217,18/08/2003,30/06/2027
42,485,LAVERTY PATHOLOGY,ROOTY HILL MED&DEN CTR U 1 G 31 ROOTY HILL RD N,ROOTY HILL NSW 2766,01/07/2008,30/06/2027
42,487,LAVERTY PATHOLOGY,289 BELMORE RD,RIVERWOOD NSW 2210,01/07/2008,30/06/2027
42,490,LAVERTY PATHOLOGY,PROVINCIAL MC ST CLAIR SC SHOP 21 155 BENNETT RD,ST CLAIR NSW 2759,18/08/2003,30/06/2027
42,497,LAVERTY PATHOLOGY,PATH RM 1 SCHWARZ F/P 37 HILDER ST,ELDERSLIE NSW 2570,18/08/2003,30/06/2027
42,500,LAVERTY PATHOLOGY,CAPE HAWK COMM HOSP SE 1 5A SOUTH ST,FORSTER NSW 2428,18/08/2003,30/06/2027
42,502,QML PATHOLOGY,AION HLTH CONS RMS 3&4&5 L5 SE 90 30 CHASELY ST,AUCHENFLOWER QLD 4066,01/07/2008,30/06/2027
42,510,LAVERTY PATHOLOGY,3 WHITE ST,JANNALI NSW 2226,18/08/2003,30/06/2027
42,512,LAVERTY PATHOLOGY,SHOP 1 60 PENSHURST ST,PENSHURST NSW 2222,01/07/2008,30/06/2027
42,515,LAVERTY PATHOLOGY,KINCUMBER CENTRE SHOP 10 39 AVOCA DR,KINCUMBER NSW 2251,18/08/2003,30/06/2027
42,518,LAVERTY PATHOLOGY,SHOP 4 95 ANITA AVE,LAKE MUNMORAH NSW 2259,18/08/2003,30/06/2027
42,522,LAVERTY PATHOLOGY,PATH RM BIGGE ST MED CTR SE 11 42-44 BIGGE ST,LIVERPOOL NSW 2170,18/08/2003,30/06/2027
42,523,LAVERTY PATHOLOGY,PATH RM 55A MITCHELL ST,STOCKTON NSW 2295,18/08/2003,30/06/2027
42,524,LAVERTY PATHOLOGY,PATHOLOGY ROOM SE 2 33-35 BELMONT ST,SUTHERLAND NSW 2232,18/08/2003,30/06/2027
42,528,LAVERTY PATHOLOGY,128 MARIUS ST,TAMWORTH NSW 2340,18/08/2003,30/06/2027
42,529,LAVERTY PATHOLOGY,TAMWELL MEDICAL CENTRE SE O 121 JOHNSTON ST,TAMWORTH NSW 2340,18/08/2003,30/06/2027
42,530,LAVERTY PATHOLOGY,67 WYNTER ST,TAREE NSW 2430,18/08/2003,30/06/2027
42,543,DOREVITCH PATHOLOGY,PATH RM BEAUMARIS M/C 31A NORTH CONCOURSE,BEAUMARIS VIC 3193,01/07/2008,30/06/2027
42,545,LAVERTY PATHOLOGY,PATH RM GOOD LIFE PHARMACY 491 GEORGE ST,SOUTH WINDSOR NSW 2756,18/08/2003,30/06/2027
42,546,LAVERTY PATHOLOGY,SHOP 3 20 ISABELLA ST,WINGHAM NSW 2429,18/08/2003,30/06/2027
42,547,LAVERTY PATHOLOGY,PATH RM CORINA CHAMBERS U 13 36-38 CORINNA ST,PHILLIP ACT 2606,18/08/2003,30/06/2027
42,551,LAVERTY PATHOLOGY,PATH SE ATHERFIELD MED CTR 65 LEAD ST,YASS NSW 2582,18/08/2003,30/06/2027
42,553,LAVERTY PATHOLOGY,ROOMS 1&2 BUILDING A&B G 60 WATERLOO RD,NORTH RYDE NSW 2113,18/08/2003,30/06/2027
42,555,LAVERTY PATHOLOGY,OTP HOUSE SE 1 G 10 BRADFORD CL,KOTARA NSW 2289,18/08/2003,30/06/2027
42,556,LAVERTY PATHOLOGY,PTH RM 5 HOLY FAM MC SH 2 529 NEW CANTERBURY RD,DULWICH HILL NSW 2203,20/08/2003,30/06/2027
42,560,QML PATHOLOGY,KINGSCLIFF SHOPPING VILLAGE SHOP 14 24 PEARL ST,KINGSCLIFF NSW 2487,01/09/2003,30/06/2027
42,562,DOREVITCH PATHOLOGY,PATH RM HILLCREST HLTH CARE 50-52 BAMBURGH ST,JACANA VIC 3047,01/07/2008,30/06/2027
42,570,LAVERTY PATHOLOGY,MONGOMERY DIAGNOSTIC CTR G SE A 50 MONTGOMERY ST,KOGARAH NSW 2217,06/10/2003,30/06/2027
42,571,QML PATHOLOGY,PATHOLOGY ROOM SHOP 1 43 FITZROY ST,NANANGO QLD 4615,13/10/2003,30/06/2027
42,572,DOREVITCH PATHOLOGY,PATH RM ELTHAM CENTRAL M/C 9 LUCK ST,ELTHAM VIC 3095,03/11/2003,30/06/2027
42,587,QML PATHOLOGY,ASPLEY FOUNTAIN SHOP CTR SHOP 4 1344 GYMPIE RD,ASPLEY QLD 4034,01/07/2008,30/06/2027
42,603,WESTERN DIAGNOSTIC PATH,PATHOLOGY ROOM SHOP 5 5 HARDEY RD,GLEN FORREST WA 6071,01/07/2008,30/06/2027
42,606,QUEENSLAND MEDICAL LAB,SHOP 2 184 STATION RD,BURPENGARY QLD 4505,19/04/2004,30/06/2027
